chr4	0	9510727	89606	4671848	2845439	243556	4221488
chr4	9510727	19021454	0	3800464	1110276	160179	4904563
chr4	19021454	28532181	0	3678747	792080	147357	4705470
chr4	28532181	38042908	19294	3379410	618350	166011	4600315
chr4	38042908	47553635	0	3676460	1853250	127812	4997402
chr4	47553635	57064362	250400	3682508	1192540	2298392	3843881
chr4	57064362	66575089	42588	3340081	404751	170784	4848789
chr4	66575089	76085816	0	3551594	1187540	122748	5160533
chr4	76085816	85596543	0	3692421	1431895	111245	4816147
chr4	85596543	95107270	0	3516376	1574946	124338	4705422
chr4	95107270	104617997	0	3511952	709943	116888	5093346
chr4	104617997	114128724	0	3586542	1993889	117803	4588467
chr4	114128724	123639451	0	3481297	1178782	122441	4811933
chr4	123639451	133150178	0	3440568	710886	159266	4949838
chr4	133150178	142660905	0	3500343	549518	138992	4772445
chr4	142660905	152171632	0	3657006	1125997	115064	4767852
chr4	152171632	161682359	0	3570633	1301121	130886	4657808
chr4	161682359	171193086	0	3513108	827486	151028	4812775
chr4	171193086	180703813	0	3460301	645216	144106	4578210
chr4	180703813	190214555	60000	3856342	1519294	155239	4150555
